circuit,L_magnet_H,C_ground_magnet_H,R_parallel_H,R_circuit_H,R_crowbar_H,t_Start_H,t_PC_H,t_EE_H,R_EE_H,C_snubber_H,R_snubber_H,R_Branch_H,L_Branch_H,Length_Busbar_H,L_Busbar_per_m_H,L_Busbar_H,I_start_H,I_end_1_H,I_end_2_H,dI_dt_H,dI_dt2_H,t_start_H,t_plateau_H,t_PC_off_H,t_PC_switch_off_H,L_parasitic_series_H,R_parasitic_series_H,R_parasitic_parallel_H,L_magnet_V,C_ground_magnet_V,R_parallel_V,R_circuit_V,R_crowbar_V,t_Start_V,t_PC_V,t_EE_V,R_EE_V,C_snubber_V,R_snubber_V,R_Branch_V,L_Branch_V,Length_Busbar_V,L_Busbar_per_m_V,L_Busbar_V,I_start_V,I_end_1_V,I_end_2_V,dI_dt_V,dI_dt2_V,t_start_V,t_plateau_V,t_PC_off_V,t_PC_switch_off_V,L_parasitic_series_V,R_parasitic_series_V,R_parasitic_parallel_V,M_magnet_H_V
RCBXH1.L2_RCBXV1.L1,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.L2_RCBXV1.R1,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.L2_RCBXV1.L2,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.L2_RCBXV1.R2,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.L2_RCBXV1.L5,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.L2_RCBXV1.R5,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.L2_RCBXV2.L1,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.L2_RCBXV2.R1,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.L2_RCBXV2.L2,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.L2_RCBXV2.R2,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.L2_RCBXV2.L5,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.L2_RCBXV2.R5,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.L2_RCBXV2.L8,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.L2_RCBXV2.R8,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.L2_RCBXV3.L1,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.L2_RCBXV3.R1,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.L2_RCBXV3.L2,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.L2_RCBXV3.R2,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.L2_RCBXV3.L5,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.L2_RCBXV3.R5,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.L2_RCBXV3.L8,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.L2_RCBXV3.R8,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.R2_RCBXV1.L1,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.R2_RCBXV1.R1,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.R2_RCBXV1.L2,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.R2_RCBXV1.R2,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.R2_RCBXV1.L5,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.R2_RCBXV1.R5,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.R2_RCBXV2.L1,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.R2_RCBXV2.R1,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.R2_RCBXV2.L2,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.R2_RCBXV2.R2,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.R2_RCBXV2.L5,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.R2_RCBXV2.R5,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.R2_RCBXV2.L8,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.R2_RCBXV2.R8,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.R2_RCBXV3.L1,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.R2_RCBXV3.R1,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.R2_RCBXV3.L2,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.R2_RCBXV3.R2,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.R2_RCBXV3.L5,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.R2_RCBXV3.R5,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.R2_RCBXV3.L8,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.R2_RCBXV3.R8,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
RCBXH1.L5_RCBXV1.L1,0.261977,5.16E-09,1000000000,0.00365,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,0.1669,4.22E-09,1000000000,0.00784,0.05,0,0.2,0,0,0,0,0,0,0,0,0,0.00E+00,1.00E+02,5.50E+02,2.50E+00,2.00E-01,1.00E+01,2.00E+01,2.00E-01,1.00E-02,1.00E-09,1.00E-09,1.00E+06,1.00E-10
